DATE,COLBCAGDPBP6
1980-01-01,-0.032
1981-01-01,-3.399
1982-01-01,-5.318
1983-01-01,-5.241
1984-01-01,-3.921
1985-01-01,-3.285
1986-01-01,1.1
1987-01-01,-0.041
1988-01-01,-0.394
1989-01-01,-0.366
1990-01-01,0.97
1991-01-01,4.05
1992-01-01,1.277
1993-01-01,-2.857
1994-01-01,-3.759
1995-01-01,-4.16
1996-01-01,-3.997
1997-01-01,-4.511
1998-01-01,-4.126
1999-01-01,0.65
2000-01-01,0.852
2001-01-01,-1.066
2002-01-01,-1.324
2003-01-01,-0.969
2004-01-01,-0.666
2005-01-01,-1.338
2006-01-01,-1.849
2007-01-01,-2.982
2008-01-01,-2.679
2009-01-01,-1.907
2010-01-01,-2.996
2011-01-01,-2.906
2012-01-01,-3.14
2013-01-01,-3.236
2014-01-01,-5.198
2015-01-01,-6.372
2016-01-01,-4.452
2017-01-01,-3.182
2018-01-01,-4.202
2019-01-01,-4.584
2020-01-01,-3.46
2021-01-01,-5.645
2022-01-01,-6.241
2023-01-01,-4.904
2024-01-01,-4.298
2025-01-01,-4.283
2026-01-01,-4.092
2027-01-01,-3.944
2028-01-01,-3.895
