Año;Exportaciones dólar FOB
1970;735657066
1971;690008689
1972;865957616
1973;1177338782
1974;1416887608
1975;1465187132
1976;1745152934
1977;2443191089
1978;3038295507
1979;3300442555
1980;3945047550
1981;2956400222
1982;3094966909
1983;3080892848
1984;3483139993
1985;3551886162
1986;5107935978
1987;5024422563
1988;5026226592
1989;5739442860
1990;6765037137
1991;7244281898
1992;7065146049
1993;7123446555
1994;8537528029
1995;10201064471
1996;10647564205
1997;11549028844
1998;10865625464
1999;11617040585
2000;13158400847
2001;12329896346
2002;11975388697
2003;13128524194
2004;16788327840
2005;21146086626
2006;24511970118
2007;30279238918
2008;36786375287
2009;32846326710
2010;39713336400
2011;56914939110
2012;60125165918
2013;58826371009
2014;54856754567
2015;36017521665
2016;31768340981
2017;38021860310
2018;41904777398
2019;39489167864
2020;31055810660
2021;41389989071
2022;56910136648
